tip_diameter_mm,hub_ratio,blade_angle_deg,blade_count,speed_rpm,blade_profile,flow_rate_m3s,total_pressure_pa,temperature_celsius,efficiency_pct,shaft_power_kw,noise_dba,safety_factor,cost_total,is_feasible,status
2051.31,0.4285,27.64,4,585,NACA 0012,0.7496,656.63,-6.55,6.380,7.564,81.19,59.650,138408.49,1,warning
303.52,0.3650,15.37,8,1259,NACA 4412,11.9276,440.35,-9.79,0.000,0.000,81.00,244.500,161.68,0,warning
538.65,0.4462,20.24,10,2553,Flat Plate,18.0618,1414.14,33.39,0.000,0.000,111.87,34.760,707.73,0,warning
2672.16,0.4564,12.29,12,2256,Flat Plate,4.6907,849.14,41.43,5.710,1224.800,158.12,2.490,6550869.82,1,warning
1892.04,0.3220,22.42,10,780,NACA 0012,7.8856,216.79,6.86,45.550,18.887,78.07,34.530,131289.06,1,warning
478.90,0.3515,26.95,4,2289,NACA 2412,1.6417,612.08,33.26,84.680,1.375,68.97,65.330,8539.58,1,warning
1940.99,0.4150,17.81,12,702,Flat Plate,4.5235,1950.90,31.93,28.730,11.012,93.52,25.250,86141.62,1,warning
1764.77,0.5463,29.34,8,2431,Flat Plate,9.4570,1318.92,37.56,26.850,278.776,132.22,5.560,1503851.18,1,warning
781.69,0.3255,17.36,4,743,Flat Plate,5.7573,1548.93,35.38,0.000,0.000,88.61,151.250,5532.37,0,warning
1287.40,0.5869,21.71,6,2087,NACA 0012,11.8615,1021.82,44.11,75.700,81.167,106.01,15.190,443827.67,1,warning
1882.31,0.5034,15.02,4,1139,Flat Plate,13.0509,92.31,48.95,71.310,39.859,78.91,21.230,284026.87,1,warning
1164.11,0.4839,19.90,8,2647,NACA 0012,11.3024,1730.49,45.84,74.780,83.586,115.77,9.540,450912.98,1,warning
303.65,0.4835,10.20,10,2671,NACA 4412,13.3862,1346.97,45.86,0.000,0.000,95.88,75.680,124.42,0,warning
2789.24,0.3559,23.38,6,2592,NACA 4412,4.0389,1614.95,36.29,3.280,2552.052,163.62,1.590,13667789.52,1,warning
2235.76,0.5950,18.38,10,834,Flat Plate,12.8727,348.10,25.94,43.170,48.878,89.82,31.590,303582.40,1,warning
895.76,0.4745,28.88,10,1161,NACA 4412,13.1210,1773.11,-2.73,45.190,0.426,90.01,49.550,5464.37,1,warning
1960.46,0.5645,26.86,4,2993,NACA 0012,10.3229,1169.18,6.48,19.410,911.488,145.58,3.100,4900271.15,1,warning
724.09,0.3485,18.51,8,578,Flat Plate,4.1406,1240.89,35.62,0.000,0.000,85.19,107.930,2198.05,0,warning
1404.89,0.3483,34.46,6,2663,NACA 0012,19.4318,1547.21,36.63,52.970,179.796,125.66,5.760,972547.54,1,warning
2869.23,0.4970,11.91,12,682,Flat Plate,6.2758,1640.17,33.27,36.330,32.910,101.84,20.070,260859.24,1,warning
2903.17,0.3216,32.88,6,2549,Flat Plate,13.5686,1464.70,7.04,8.600,3185.733,167.64,1.470,17041434.37,1,warning
2312.08,0.5896,19.75,10,1030,NACA 4412,17.7671,1734.66,29.26,58.500,177.569,110.27,18.120,989428.64,1,warning
1868.46,0.4075,28.82,12,638,Flat Plate,10.6509,1937.10,29.10,53.470,10.664,91.09,28.300,81341.12,1,warning
2819.46,0.5486,16.99,6,545,NACA 2412,8.1216,1697.23,44.88,41.250,37.423,95.81,40.600,356079.31,1,warning
831.64,0.4898,15.17,6,1499,NACA 4412,6.0220,1246.76,47.52,89.240,1.498,83.19,54.880,12155.89,1,ok
582.50,0.5224,14.48,12,2018,NACA 4412,16.2722,1424.54,28.40,0.000,0.000,107.53,46.360,712.80,0,warning
2544.17,0.5795,33.55,10,863,Flat Plate,12.9785,785.40,12.72,33.040,91.850,103.03,21.720,553437.56,1,warning
1596.36,0.5538,14.19,8,1156,NACA 4412,7.9235,1782.19,3.72,68.880,29.574,100.68,27.780,177862.73,1,warning
2610.80,0.5518,25.25,4,2112,NACA 4412,13.8170,156.91,10.27,17.060,1333.332,119.47,3.450,7241044.20,1,warning
2501.77,0.5056,33.21,8,1440,NACA 0012,1.2835,862.71,-2.79,2.730,294.527,124.96,7.420,1643821.95,1,warning
2032.41,0.3877,21.63,10,2954,NACA 0012,1.3911,475.43,4.72,2.440,841.240,152.88,2.360,4488878.19,1,warning
1328.25,0.3523,12.71,4,1128,NACA 0012,16.6532,244.87,25.74,0.000,0.000,98.61,36.630,27128.37,0,warning
1807.53,0.4138,17.41,4,848,Flat Plate,18.9484,1354.72,-7.17,82.670,23.069,96.89,35.550,189669.53,1,warning
2178.45,0.5910,21.76,8,2144,NACA 2412,4.4499,1450.12,44.96,10.240,452.810,137.62,5.080,2447662.91,1,warning
2881.98,0.3473,16.40,6,1985,NACA 0012,7.4407,1341.39,30.86,12.470,1204.961,147.40,2.510,6559060.38,1,warning
2767.29,0.4577,20.39,8,1426,NACA 0012,6.0848,1468.68,38.05,8.650,433.983,132.31,5.750,2415108.04,1,warning
2708.30,0.4488,31.38,4,2323,NACA 2412,18.6859,538.36,-5.17,16.430,2170.611,138.35,2.310,11707155.73,1,warning
2321.09,0.3121,15.72,6,2167,NACA 2412,5.8505,525.45,6.99,15.940,644.443,132.65,3.170,3505602.79,1,warning
1543.86,0.4886,27.00,4,2303,NACA 2412,5.6244,1958.10,36.33,25.010,124.158,120.45,7.500,697546.16,1,warning
2221.47,0.3788,22.14,10,1566,Flat Plate,17.5462,75.75,39.87,31.300,238.858,101.06,7.010,1314189.61,1,warning
589.81,0.4315,21.94,10,2171,NACA 4412,3.5351,1059.70,28.08,90.680,2.454,81.02,40.410,13906.53,1,warning
1757.57,0.4589,25.03,10,1680,NACA 0012,2.6052,1773.34,47.50,11.850,73.794,116.83,9.640,414801.73,1,warning
1861.18,0.4157,34.17,4,1702,NACA 0012,4.7710,1775.42,29.76,16.500,112.501,117.78,8.650,668941.24,1,warning
679.48,0.4181,19.01,8,2410,NACA 4412,18.6747,970.08,11.42,0.000,0.000,114.24,29.100,1794.04,0,warning
2953.43,0.4814,19.39,4,1929,NACA 2412,7.4065,462.29,3.32,11.040,2267.462,129.88,2.920,12281428.13,1,warning
848.04,0.5820,25.70,12,2894,NACA 2412,3.0174,360.28,15.67,48.690,19.398,96.14,17.860,104704.77,1,warning
843.01,0.4698,13.20,4,1588,NACA 4412,12.2960,1387.57,8.49,0.000,0.000,110.29,49.360,6706.69,0,warning
1930.04,0.4295,19.22,6,2190,NACA 0012,1.1247,886.11,5.82,5.640,312.596,126.09,4.960,1708266.98,1,warning
1691.87,0.4829,25.15,10,1250,Flat Plate,13.5954,1589.27,17.96,51.820,50.052,106.75,18.360,286304.83,1,warning
1590.63,0.5782,12.63,4,2784,Flat Plate,9.7291,1596.17,32.83,58.390,168.693,127.71,5.570,933724.84,1,warning
407.76,0.5863,29.87,6,660,NACA 4412,5.0736,1808.34,7.66,0.000,0.000,89.38,423.630,459.86,0,warning
1814.63,0.3701,30.06,12,2753,Flat Plate,6.8073,611.98,30.86,15.540,392.787,143.62,3.310,2100884.79,1,warning
2999.11,0.5901,23.48,10,973,NACA 2412,16.2828,1451.46,20.23,26.000,275.663,117.99,12.530,1567553.34,1,warning
2723.66,0.3471,30.90,4,2545,NACA 2412,11.1002,671.15,1.02,8.900,2513.551,144.55,1.720,13530644.43,1,warning
490.43,0.4474,17.04,8,1510,NACA 4412,1.1391,1985.21,15.61,90.090,0.221,67.76,75.980,1817.34,1,warning
2073.05,0.3180,17.67,4,1563,NACA 0012,16.4635,1869.02,4.26,52.060,204.218,120.39,7.550,1183469.88,1,warning
2439.28,0.3560,23.25,6,2016,NACA 2412,18.3062,1314.06,10.68,22.120,818.126,142.72,3.410,4439851.08,1,warning
364.60,0.4473,28.39,12,568,NACA 0012,14.8706,1782.95,27.91,0.000,0.000,93.89,67.000,182.81,0,warning
1552.28,0.4404,26.28,12,1950,NACA 0012,1.4293,1291.81,-5.31,8.330,70.972,123.59,8.920,389600.24,1,warning
615.40,0.4280,20.40,10,2280,NACA 2412,12.0307,1823.40,31.86,0.000,0.000,112.87,29.990,1062.82,0,warning
366.47,0.5009,31.10,6,1765,NACA 2412,1.6329,1748.95,47.04,0.000,0.000,84.44,143.160,360.58,0,warning
2370.65,0.4670,30.64,4,2043,NACA 4412,1.6721,1697.85,-4.54,3.050,667.124,134.63,3.960,3678438.50,1,warning
2590.29,0.5655,34.34,10,991,NACA 2412,4.4314,74.91,42.74,12.370,110.305,85.13,16.220,655861.44,1,warning
2127.71,0.4569,26.13,6,1732,Flat Plate,11.7000,1471.89,4.75,24.930,276.748,124.08,6.660,1536347.65,1,warning
2865.19,0.5002,34.19,4,772,Flat Plate,17.9358,164.27,48.72,32.710,105.623,89.40,19.840,817366.81,1,warning
338.90,0.5536,30.10,8,1591,NACA 4412,14.5894,937.18,6.34,0.000,0.000,88.50,213.890,204.95,0,warning
2655.74,0.5136,10.19,6,2772,NACA 0012,4.2419,290.43,27.51,10.490,1030.591,145.54,1.830,5587831.56,1,warning
1376.30,0.4351,17.77,10,1196,NACA 0012,11.7100,1633.34,26.80,82.490,15.496,96.82,25.070,93829.90,1,warning
2814.92,0.4436,33.68,4,1187,Flat Plate,11.4736,257.25,2.69,16.890,326.971,107.11,8.120,1982470.96,1,warning
869.17,0.5344,12.02,12,666,NACA 0012,8.8869,899.69,46.01,0.000,0.000,85.75,126.800,2345.00,0,warning
1273.86,0.3338,22.91,8,2852,NACA 4412,5.5925,1117.32,46.53,31.060,91.145,123.96,5.960,494144.48,1,warning
1973.19,0.4190,20.56,10,2731,Flat Plate,17.9516,98.72,3.29,28.200,772.338,134.23,3.040,4120811.31,1,warning
661.21,0.4075,10.42,6,1969,NACA 4412,5.7022,608.61,1.86,0.000,0.000,99.45,47.900,2211.01,0,warning
2925.20,0.3797,32.86,12,1160,NACA 0012,13.5214,1596.47,1.42,17.110,373.431,132.34,6.540,2071760.41,1,warning
2386.82,0.3958,14.56,6,1607,NACA 0012,12.9335,160.65,0.06,38.920,292.710,104.87,5.870,1652746.38,1,warning
2891.72,0.4883,23.64,8,2276,NACA 4412,19.5065,1157.97,41.70,15.610,2453.405,158.02,2.190,13112469.89,1,warning
319.44,0.4915,32.45,6,794,NACA 0012,19.3565,347.11,23.76,0.000,0.000,80.90,813.220,240.26,0,warning
2741.77,0.5468,17.44,10,2688,NACA 4412,14.3565,1454.34,31.40,19.520,4034.779,172.01,1.900,21431372.64,1,warning
2683.33,0.5957,20.45,12,2359,Flat Plate,11.3447,764.17,29.54,12.140,1749.770,161.30,2.800,9321103.04,1,warning
514.54,0.4574,31.44,4,2482,NACA 2412,2.7844,558.97,-1.98,87.850,3.997,75.91,55.070,22694.46,1,warning
2237.65,0.4645,20.49,12,2284,NACA 4412,16.6558,1565.86,30.54,32.380,1138.806,153.72,3.420,6066222.92,1,warning
2667.86,0.4792,29.33,6,1795,NACA 0012,15.7611,1318.06,7.32,18.140,897.671,141.98,4.090,4889663.80,1,warning
2769.85,0.4006,28.44,10,508,Flat Plate,14.1292,1617.68,-2.88,37.150,31.479,98.06,29.220,264207.29,1,warning
1652.27,0.5806,31.74,6,1498,NACA 0012,1.0038,1574.35,24.17,7.410,39.623,107.15,17.480,240416.76,1,warning
2613.97,0.5235,12.75,12,1541,NACA 2412,1.4873,575.71,-4.57,6.030,313.320,127.38,6.080,1721828.64,1,warning
2183.14,0.4215,21.87,8,1128,NACA 4412,1.7450,754.16,17.58,6.830,70.449,103.67,14.000,432132.71,1,warning
1542.97,0.5914,30.51,10,907,Flat Plate,13.5949,1512.18,5.89,68.220,19.752,94.26,46.940,119326.67,1,warning
2965.87,0.3241,15.56,12,732,NACA 4412,4.2181,508.80,9.14,15.690,98.128,97.49,15.340,619832.24,1,warning
1020.88,0.5216,32.76,8,1927,NACA 2412,5.4384,558.16,37.77,57.530,16.503,90.09,25.010,93067.02,1,warning
1322.41,0.3425,16.13,12,2533,NACA 0012,14.6289,1151.27,47.47,73.810,86.479,123.76,6.620,466398.22,1,warning
355.49,0.5084,28.27,8,2011,NACA 0012,14.6374,1433.38,14.19,0.000,0.000,94.79,111.650,245.56,0,warning
958.54,0.4653,31.42,8,503,NACA 2412,7.9227,935.20,-6.10,0.000,0.000,85.52,179.420,4941.21,0,warning
1763.79,0.4997,33.05,6,2832,NACA 2412,10.5697,635.64,16.55,25.680,485.216,133.49,3.880,2607030.30,1,warning
684.86,0.4094,13.97,12,2813,NACA 0012,13.2556,740.97,-7.54,0.000,0.000,117.38,20.170,1227.77,0,warning
675.94,0.3346,34.83,4,513,NACA 0012,12.2962,1730.94,36.42,0.000,0.000,92.78,242.660,3577.44,0,warning
331.22,0.5112,15.57,10,547,NACA 4412,14.7832,1514.21,47.96,0.000,0.000,92.43,155.060,158.58,0,warning
2572.64,0.3510,27.38,12,2467,NACA 2412,19.1579,1981.91,4.22,17.120,1875.203,172.76,1.960,9985519.28,1,warning
2419.19,0.3332,15.89,10,2030,NACA 2412,4.3726,1745.84,19.09,11.760,622.297,145.10,3.220,3357546.71,1,warning
1309.47,0.4951,19.28,12,2749,NACA 4412,7.3944,1127.77,40.02,51.560,168.994,126.40,7.080,902220.32,1,warning
641.13,0.3906,22.99,6,2086,NACA 2412,2.2078,1256.00,5.83,78.250,3.627,83.21,41.440,21205.60,1,warning
2276.62,0.3911,32.46,12,1939,NACA 4412,1.4504,836.27,4.13,2.970,438.432,142.83,4.250,2364617.90,1,warning
2816.27,0.3726,13.17,12,1531,Flat Plate,17.4882,245.45,21.58,22.000,595.877,126.15,4.500,3238215.84,1,warning
452.46,0.3210,25.73,6,1882,NACA 0012,1.2492,1606.80,28.94,86.850,0.427,69.60,67.490,2969.14,1,warning
1434.64,0.4850,10.18,8,1038,NACA 2412,5.8000,1193.79,47.64,75.310,5.698,87.91,37.320,46517.56,1,warning
2905.29,0.5638,18.27,10,2550,NACA 2412,6.4020,1454.71,17.81,8.900,4080.130,173.38,1.930,21686155.68,1,warning
1794.57,0.4238,12.02,8,2257,NACA 0012,14.6308,776.82,11.51,59.870,170.441,125.40,5.330,934636.45,1,warning
2173.59,0.4851,15.70,4,1285,NACA 0012,17.6627,209.24,28.64,61.420,127.701,95.75,12.210,789539.08,1,warning
1505.03,0.5965,24.45,12,1397,NACA 2412,17.9501,736.99,10.29,80.680,90.435,99.93,24.010,489822.46,1,warning
950.94,0.4898,34.02,10,1411,Flat Plate,6.3432,744.32,18.14,70.660,7.005,83.10,45.190,40883.05,1,warning
660.09,0.3934,11.20,6,2609,NACA 4412,17.2404,78.52,12.57,0.000,0.000,93.34,28.930,2207.21,0,warning
2410.37,0.4496,22.33,12,2421,Flat Plate,5.9673,324.17,37.78,7.670,1021.364,148.11,2.670,5455790.64,1,warning
1496.37,0.4727,33.54,10,1746,NACA 2412,19.5245,1623.77,25.00,61.710,96.183,114.39,12.390,523786.95,1,warning
2182.47,0.3816,26.55,10,2192,NACA 2412,3.4214,652.78,22.22,6.490,488.738,141.95,3.660,2633404.01,1,warning
655.91,0.5299,29.57,6,2751,NACA 4412,5.5812,1088.34,33.60,87.410,16.792,92.17,29.830,90849.14,1,warning
832.71,0.4781,13.04,4,1572,NACA 0012,18.4858,1134.61,6.07,0.000,0.000,109.84,52.650,6435.10,0,warning
2775.81,0.3417,10.32,4,2868,NACA 2412,2.5503,1783.10,48.89,4.650,1543.595,161.40,1.300,8413323.45,1,warning
2295.88,0.4169,16.23,4,2016,NACA 2412,9.0600,1474.24,28.99,25.660,553.761,127.99,4.100,3067880.38,1,warning
2823.64,0.3142,32.04,10,1244,NACA 4412,18.1275,920.32,19.31,22.950,388.955,126.35,6.170,2161829.88,1,warning
870.52,0.3305,10.60,12,2812,NACA 0012,1.6608,392.89,42.13,53.880,5.811,91.80,12.710,33275.21,1,warning
1634.19,0.5153,23.91,4,1152,Flat Plate,1.8513,1307.14,47.32,15.590,16.953,96.73,27.390,137174.13,1,warning
2421.24,0.4683,12.34,4,1481,NACA 0012,1.7779,993.92,19.21,9.350,136.370,114.75,7.230,880444.77,1,warning
2076.07,0.3379,27.94,12,2235,NACA 0012,7.3371,1357.06,39.36,13.690,396.563,146.90,3.570,2132379.67,1,warning
2565.58,0.4973,14.02,4,2976,NACA 4412,4.3952,1261.42,36.44,8.210,2513.566,157.13,1.660,13482782.23,1,warning
1341.26,0.4856,27.34,4,1476,NACA 2412,1.3513,1351.55,34.30,15.990,14.516,97.47,23.780,103548.42,1,warning
2006.18,0.4811,21.22,8,1178,NACA 2412,10.6446,263.68,-5.44,48.420,129.056,93.90,16.770,727601.65,1,warning
2967.55,0.4419,27.41,8,1594,NACA 4412,10.3950,333.39,46.36,11.120,886.584,128.83,4.030,4838207.98,1,warning
629.10,0.5388,30.18,12,2699,NACA 4412,8.8453,1423.82,1.18,93.300,7.710,96.57,28.450,41687.80,1,warning
2504.57,0.3916,19.85,8,1310,NACA 4412,19.0960,1759.75,-4.17,41.640,494.607,122.89,7.510,2706939.87,1,warning
2744.56,0.3303,23.22,8,1588,NACA 0012,6.4923,126.26,28.90,7.850,553.960,117.19,4.300,3050169.25,1,warning
490.98,0.4087,31.77,4,2746,Flat Plate,15.6764,1815.40,22.21,0.000,0.000,113.41,43.990,1357.39,0,warning
786.11,0.4054,23.89,6,2621,NACA 4412,19.1383,300.64,5.78,0.000,0.000,110.50,20.250,3717.59,0,warning
2219.83,0.3400,14.35,4,1976,NACA 4412,11.1392,1283.77,41.89,32.340,423.247,124.36,4.250,2365659.11,1,warning
407.14,0.3726,14.39,6,1965,NACA 4412,4.9674,798.29,26.84,0.000,0.000,87.38,101.270,519.82,0,warning
471.45,0.4889,27.74,6,979,NACA 0012,15.4583,1106.08,-2.58,0.000,0.000,90.05,247.940,773.60,0,warning
1798.44,0.4887,25.17,12,653,Flat Plate,10.1267,623.41,41.51,56.090,9.894,79.91,54.120,73822.33,1,warning
739.11,0.4132,22.34,6,1573,NACA 4412,18.9922,422.96,21.50,0.000,0.000,97.60,61.060,3083.10,0,warning
2227.22,0.4336,31.28,10,1678,NACA 0012,19.1602,699.86,-2.18,32.190,367.418,127.44,6.260,1993919.13,1,warning
1495.89,0.5754,13.94,4,2784,NACA 2412,10.9339,1509.72,-3.84,61.680,225.068,127.60,6.260,1225094.66,1,warning
2836.34,0.3797,29.03,12,547,NACA 4412,13.8933,1541.80,18.56,34.670,41.587,99.43,21.940,307797.55,1,warning
2450.14,0.4565,23.35,6,688,NACA 0012,1.0052,1650.70,30.65,4.460,25.963,99.22,29.390,247857.60,1,warning
2817.85,0.4305,29.49,6,2768,Flat Plate,11.6185,387.32,48.54,8.010,3213.013,154.83,1.470,17166719.96,1,warning
2214.80,0.5923,29.79,10,2584,NACA 0012,3.8746,402.95,41.27,7.020,826.128,145.62,3.420,4414138.28,1,warning
2377.93,0.4392,15.96,4,2263,Flat Plate,10.6027,1722.62,21.30,14.010,881.028,138.30,3.110,4813281.79,1,warning
777.07,0.3878,10.61,8,829,NACA 4412,11.8133,1510.49,31.31,0.000,0.000,91.54,82.680,2703.68,0,warning
2408.11,0.5899,23.65,12,2227,NACA 0012,13.4945,880.61,37.59,19.120,935.885,152.01,3.840,4998003.22,1,warning
853.64,0.4096,18.17,10,2656,NACA 2412,10.6604,157.70,33.65,89.070,15.666,86.22,16.750,85744.92,1,warning
1346.95,0.4910,15.64,6,996,NACA 4412,15.0893,1465.24,28.67,90.430,7.617,91.11,47.400,58314.38,1,warning
1167.22,0.4274,28.86,8,2160,Flat Plate,17.4081,627.16,38.52,69.620,60.403,102.59,13.570,328582.57,1,warning
2229.53,0.4554,18.90,6,2454,NACA 0012,9.4320,233.69,49.31,23.580,889.183,126.62,3.070,4787078.42,1,warning
2268.85,0.5862,32.76,4,2697,Flat Plate,3.1505,1599.96,44.55,5.200,1000.625,147.82,2.960,5412154.26,1,warning
955.42,0.4494,11.68,10,1561,NACA 2412,19.2907,1905.29,36.28,0.000,0.000,116.59,28.610,3943.89,0,warning
2650.72,0.5617,17.86,8,1275,NACA 0012,8.4244,1859.22,48.99,27.150,278.559,119.82,9.030,1570860.81,1,warning
1114.27,0.3203,24.74,4,936,NACA 2412,18.6194,1408.67,19.49,0.000,0.000,105.07,63.740,16021.22,0,warning
1934.40,0.3237,21.02,8,1406,NACA 2412,7.0298,1683.35,25.42,26.270,88.094,114.66,9.840,507943.27,1,warning
2051.49,0.5694,11.92,12,1708,NACA 4412,3.3323,513.71,49.74,22.230,132.993,112.78,8.630,733358.20,1,warning
2932.71,0.3221,30.99,4,1473,NACA 2412,10.6488,102.39,34.67,11.340,636.027,106.61,4.360,3656702.22,1,warning
1681.98,0.3784,26.89,6,2535,NACA 2412,18.7397,669.70,14.41,41.570,338.970,126.84,4.640,1829790.52,1,warning
1029.58,0.5494,16.22,10,1283,NACA 2412,5.1610,689.40,15.37,85.090,4.986,80.42,52.770,30973.60,1,warning
1674.08,0.3569,24.37,8,1906,NACA 2412,6.8470,1421.46,-5.75,25.790,117.363,121.52,7.710,648010.17,1,warning
2846.48,0.5337,30.31,4,908,NACA 2412,16.8573,1933.25,3.80,29.760,194.325,117.01,15.020,1275202.32,1,warning
496.90,0.4698,16.07,10,824,NACA 4412,1.5652,260.87,31.85,0.000,0.000,67.51,322.470,549.39,0,warning
2839.66,0.5904,21.18,10,2669,NACA 4412,0.5746,1053.73,2.74,0.550,3481.232,172.17,1.940,18508475.34,1,warning
2987.71,0.5279,11.66,4,2151,NACA 4412,0.6374,1933.81,18.86,1.300,1572.271,144.88,2.440,8604592.14,1,warning
565.56,0.5470,33.87,12,2332,NACA 2412,6.6836,787.48,14.26,83.660,1.062,82.96,48.870,6250.95,1,warning
1109.08,0.5992,27.52,4,1357,NACA 2412,7.7334,699.92,1.95,80.720,23.132,86.58,49.570,136027.68,1,warning
312.16,0.4598,19.11,12,1869,NACA 4412,6.1389,737.76,49.04,0.000,0.000,82.71,107.580,114.08,0,warning
874.79,0.3279,11.88,12,1233,NACA 2412,14.9128,1254.95,45.41,0.000,0.000,102.95,31.150,2584.73,0,warning
2541.66,0.3306,17.93,4,1873,Flat Plate,1.9883,1760.56,-5.15,2.740,642.069,135.61,3.580,3586743.26,1,warning
1995.35,0.5041,32.77,8,2473,NACA 4412,14.7967,861.90,20.84,28.500,624.410,138.56,3.980,3346677.74,1,warning
775.38,0.5886,20.28,10,608,NACA 0012,15.1100,590.56,-7.08,0.000,0.000,84.38,284.040,1892.29,0,warning
1390.39,0.5129,17.72,8,2825,NACA 4412,12.9568,1364.38,26.38,63.690,263.014,131.79,6.280,1406007.25,1,warning
1257.49,0.4853,21.83,6,2874,Flat Plate,4.2486,312.74,-6.79,26.530,97.872,109.91,7.280,532442.26,1,warning
906.50,0.4357,14.02,8,2229,NACA 4412,17.7771,631.29,27.45,0.000,0.000,115.16,20.940,4234.33,0,warning
782.28,0.5329,25.64,12,2170,Flat Plate,15.1085,768.84,9.72,0.000,0.000,112.67,31.010,1711.85,0,warning
411.44,0.3378,22.58,8,2656,NACA 4412,3.3870,1362.16,19.30,0.000,0.000,98.91,43.960,403.40,0,warning
2914.12,0.3292,25.59,6,2273,Flat Plate,18.3232,161.14,41.37,12.390,2149.553,139.52,1.860,11562259.33,1,warning
571.62,0.4529,20.09,10,2071,Flat Plate,14.8325,1507.69,26.52,0.000,0.000,107.90,42.510,843.31,0,warning
1055.68,0.3244,16.27,4,1925,NACA 2412,18.5385,1548.00,32.02,73.710,4.586,104.24,18.820,37868.71,1,warning
2335.44,0.3230,13.31,10,1990,NACA 2412,18.0124,784.18,18.40,42.690,491.801,135.95,3.660,2660634.29,1,warning
1789.68,0.3115,31.36,8,2493,Flat Plate,3.3001,1721.83,33.55,9.040,242.005,136.92,3.870,1313400.43,1,warning
2271.60,0.3408,27.72,8,2326,NACA 4412,3.0531,1236.71,26.91,4.980,687.666,145.41,2.890,3705657.89,1,warning
1727.29,0.3019,32.16,6,1467,NACA 0012,19.2255,1727.28,19.21,51.530,84.246,113.20,11.510,485380.39,1,warning
800.23,0.3359,24.63,6,2873,NACA 4412,17.3361,371.21,31.30,90.230,19.677,94.21,15.250,108055.28,1,warning
1320.76,0.4487,33.72,8,759,Flat Plate,9.7554,438.17,26.06,71.180,5.551,72.22,79.550,42375.28,1,warning
1217.96,0.5685,19.86,8,2037,Flat Plate,17.5765,1622.02,13.22,87.000,51.909,110.75,16.630,283993.29,1,warning
1094.35,0.4722,19.21,12,1747,NACA 2412,2.0814,1475.96,9.60,44.780,15.525,96.31,20.210,86994.37,1,warning
942.96,0.4133,26.92,12,1720,NACA 2412,6.7088,1925.81,30.15,78.870,17.517,95.60,20.680,95845.22,1,warning
2802.23,0.3605,20.17,12,1791,NACA 0012,19.7161,171.53,-1.92,24.360,1277.841,138.52,3.310,6844650.36,1,warning
1498.62,0.4062,15.74,12,1286,Flat Plate,19.4471,1733.19,42.51,81.920,20.392,103.33,16.750,120745.24,1,warning
930.09,0.5696,20.00,10,2342,Flat Plate,3.2955,392.01,29.01,48.070,14.750,90.45,22.180,81351.40,1,warning
1068.57,0.3197,15.32,4,2905,NACA 4412,15.7480,788.41,33.24,84.370,66.882,108.92,8.340,367915.32,1,warning
1575.04,0.4015,25.10,12,2193,Flat Plate,9.6203,1605.38,40.99,33.690,122.699,130.31,6.520,664024.84,1,warning
410.17,0.5221,32.55,4,2877,NACA 4412,8.9432,279.05,-9.94,0.000,0.000,92.76,71.140,746.79,0,warning
